Age,Gender,Years at Address,Employment Status,Country,Current Debt,Postcode,Income,Housing,CCJs,Loan Amount,Outcome
35,M,3,Self Employed,UK,2310.0,B45 8LX,21000.0,Mortgage,3,9708.0,Defaulted
85,F,23,Self Employed,UK,7160.0,WA14 4HJ,28500.0,Own,0,13706.0,Paid
26,F,2,Unemployed,UK,3490.0,BD11 1HL,52000.0,Own,0,47213.0,Paid
56,M,37,Unemployed,UK,8380.0,ME14 4BS,52000.0,Own,2,47823.0,Paid
21,M,3,Self Employed,UK,8260.0,LL34 6RD,42000.0,Own,3,26356.0,Paid
85,M,42,Unemployed,UK,290.0,KT12 5HZ,47500.0,Mortgage,0,10257.0,Paid
62,F,42,Unemployed,UK,9790.0,LS22 5AA,21000.0,Own,3,3902.0,Defaulted
73,F,30,Unemployed,UK,7240.0,E18 2PE,23000.0,Rent,0,20771.0,Paid
22,F,3,Self Employed,UK,3880.0,GU29 9AY,26500.0,Mortgage,0,17311.0,Paid
85,F,2,Unemployed,UK,7340.0,W11 1BN,46000.0,Own,0,28556.0,Paid
79,M,27,Self Employed,UK,0.0,AB32 6HR,43000.0,Rent,2,23590.0,Defaulted
81,M,15,Self Employed,UK,1800.0,KT17 1NF,21000.0,Own,0,2129.0,Paid
27,M,2,Unemployed,UK,4970.0,LE8 0SF,33500.0,Mortgage,0,23788.0,Defaulted
78,M,8,Unemployed,UK,1400.0,TW8 0DD,52000.0,Own,0,12001.0,Paid
43,M,17,Unemployed,UK,4230.0,S10 3TP,38000.0,Rent,3,14741.0,Paid
65,F,9,Employed,UK,8580.0,GY2 4TR,47500.0,Own,2,20023.0,Paid
75,M,42,Unemployed,UK,3370.0,PH6 2EG,42500.0,Own,0,28604.0,Paid
34,M,2,Unemployed,UK,10.0,W11 2QT,43500.0,Mortgage,1,36778.0,Paid
65,F,42,Unemployed,France,7100.0,LL15 1SG,27500.0,Own,3,3238.0,Paid
87,M,42,Employed,UK,30.0,DE22 2FP,40500.0,Own,2,34004.0,Paid
38,F,7,Employed,UK,6390.0,TN6 1BH,21000.0,Mortgage,0,4966.0,Defaulted
32,M,14,Unemployed,UK,7410.0,WA14 3LT,42500.0,Own,1,32133.0,Paid
39,F,2,Self Employed,UK,5490.0,LE2 3RG,30000.0,Mortgage,1,13827.0,Defaulted
58,M,32,Self Employed,UK,6220.0,BT47 3BB,42500.0,Mortgage,0,31126.0,Paid
58,M,17,Employed,UK,60.0,IM3 2AZ,45000.0,Rent,1,37036.0,Defaulted
82,F,42,Self Employed,UK,3320.0,N2 9DY,21000.0,Own,2,11419.0,Paid
43,M,4,Self Employed,UK,2010.0,TN21 0LF,27500.0,Mortgage,3,17358.0,Defaulted
62,M,2,Employed,UK,920.0,IP28 6JA,21500.0,Mortgage,0,18444.0,Defaulted
67,M,33,Self Employed,UK,9330.0,HP9 2LZ,47500.0,Own,1,5696.0,Paid
39,M,16,Self Employed,UK,2480.0,TA23 0LW,28500.0,Mortgage,2,8813.0,Defaulted
75,M,42,Self Employed,UK,2200.0,KT19 0TE,42500.0,Own,0,14812.0,Paid
22,F,2,Self Employed,UK,3380.0,WA6 0HT,45000.0,Own,0,21107.0,Defaulted
58,F,33,Self Employed,UK,9270.0,GL6 9DZ,23000.0,Mortgage,1,4732.0,Paid
69,F,42,Self Employed,UK,4370.0,WA11 7NX,52000.0,Own,0,19630.0,Paid
27,F,9,Employed,UK,5510.0,CV36 5HS,35500.0,Own,3,1072.0,Defaulted
77,F,5,Self Employed,UK,3450.0,DD5 2QA,44500.0,Own,3,19330.0,Defaulted
18,M,2,Self Employed,UK,1220.0,W9 2HD,37500.0,Mortgage,0,28323.0,Paid
18,F,2,Self Employed,UK,7690.0,DT11 9BY,30000.0,Mortgage,0,11729.0,Defaulted
43,M,14,Self Employed,UK,40.0,SL4 3JH,28500.0,Own,3,10003.0,Defaulted
33,F,10,Self Employed,UK,50.0,BT5 6JL,47500.0,Own,0,24551.0,Paid
67,F,32,Self Employed,UK,1640.0,MK18 2FN,34500.0,Mortgage,2,11344.0,Paid
69,F,39,Employed,UK,80.0,IV30 1TS,51000.0,Mortgage,1,13592.0,Paid
72,F,20,Employed,UK,1420.0,BT28 2AX,38500.0,Mortgage,0,1078.0,Paid
29,M,10,Unemployed,UK,420.0,BT31 9AT,52000.0,Rent,0,36234.0,Defaulted
78,F,2,Unemployed,UK,9030.0,BN8 4HE,45500.0,Own,2,20275.0,Defaulted
44,F,17,Self Employed,UK,30.0,KT8 9LD,45500.0,Mortgage,1,15662.0,Paid
17,F,2,Employed,UK,8940.0,BN20 7TQ,47000.0,Mortgage,0,5315.0,Defaulted
60,F,37,Unemployed,UK,290.0,BT10 0BT,38500.0,Own,0,26451.0,Paid
59,M,15,Employed,UK,4010.0,BT19 1FW,29000.0,Own,0,22894.0,Paid
40,M,9,Self Employed,UK,4450.0,BT19 1HF,21000.0,Own,0,2619.0,Paid
52,F,14,Self Employed,UK,4850.0,EC1V 0BY,31500.0,Rent,0,14754.0,Paid
76,M,11,Employed,UK,9580.0,EX8 2HX,25000.0,Rent,1,21016.0,Defaulted
44,M,21,Self Employed,UK,6160.0,HP17 8RS,21000.0,Rent,2,11405.0,Paid
27,F,2,Self Employed,UK,6580.0,LN2 4BL,44000.0,Own,0,9681.0,Defaulted
69,F,13,Employed,UK,7040.0,PH18 5TX,37000.0,Mortgage,1,22632.0,Paid
52,F,14,Self Employed,UK,2330.0,PH7 3PJ,24500.0,Own,0,18818.0,Paid
53,M,9,Self Employed,UK,40.0,SW14 7PH,35500.0,Mortgage,0,27599.0,Paid
68,F,35,Self Employed,UK,1110.0,SW7 5LY,32000.0,Own,0,22353.0,Paid
38,M,2,Self Employed,UK,600.0,TW16 6AN,21000.0,Own,0,5404.0,Defaulted
18,M,2,Self Employed,UK,1090.0,TW3 2DB,34500.0,Own,2,10288.0,Paid
30,M,12,Self Employed,UK,1020.0,AL10 9LU,28000.0,Own,2,14713.0,Defaulted
56,M,33,Self Employed,UK,160.0,BH1 3TE,38500.0,Own,0,34373.0,Defaulted
58,M,30,Self Employed,UK,1890.0,BH14 0DH,36500.0,Own,1,33368.0,Paid
37,M,3,Unemployed,UK,8690.0,BH14 8EG,44000.0,Own,1,14937.0,Paid
85,M,14,Unemployed,UK,4770.0,BH14 8LT,50000.0,Own,2,32952.0,Defaulted
42,F,5,Unemployed,UK,1560.0,BH15 3BX,43500.0,Rent,3,6579.0,Defaulted
85,M,42,Employed,UK,9980.0,BH8 0BB,37000.0,Rent,0,9194.0,Paid
54,M,26,Unemployed,UK,7140.0,BN20 0JZ,52000.0,Own,0,50405.0,Defaulted
57,F,14,Unemployed,UK,1020.0,BN7 2BN,21000.0,Mortgage,2,19796.0,Defaulted
34,M,2,Self Employed,UK,8450.0,BR7 6QL,45500.0,Own,1,40907.0,Defaulted
17,M,2,Unemployed,UK,7380.0,CM3 6BY,46500.0,Mortgage,2,1365.0,Defaulted
42,M,13,Self Employed,UK,180.0,CT4 7ET,47500.0,Rent,2,24035.0,Defaulted
22,M,2,Self Employed,UK,4290.0,DE23 1FT,52000.0,Mortgage,2,1145.0,Defaulted
72,M,37,Self Employed,UK,2690.0,EH11 3SX,46500.0,Mortgage,3,28848.0,Defaulted
19,M,2,Unemployed,UK,5610.0,EX39 1EY,32500.0,Rent,1,5150.0,Paid
38,M,10,Employed,UK,7120.0,EX5 4BR,27000.0,Mortgage,1,9582.0,Defaulted
27,F,3,Employed,UK,160.0,FK1 1TE,45500.0,Own,0,38361.0,Paid
50,F,2,Unemployed,UK,2440.0,GL18 1QR,51500.0,Mortgage,3,47751.0,Defaulted
88,F,34,Self Employed,UK,10.0,GL53 0BB,52000.0,Own,0,42197.0,Paid
80,M,18,Self Employed,UK,4550.0,GL54 1JU,52000.0,Mortgage,1,49227.0,Paid
57,M,34,Employed,UK,780.0,GL54 2AP,40000.0,Rent,1,20918.0,Paid
41,F,15,Unemployed,UK,8800.0,GU1 3HX,52000.0,Own,0,37542.0,Defaulted
62,F,28,Unemployed,UK,1400.0,GU12 4GA,39500.0,Own,1,10780.0,Paid
43,M,4,Self Employed,UK,5240.0,HA8 6LU,22500.0,Own,1,16352.0,Paid
62,F,18,Self Employed,UK,570.0,HP27 9LL,52000.0,Own,2,32777.0,Defaulted
43,M,18,Employed,UK,5330.0,HU14 3GA,33500.0,Own,1,21544.0,Defaulted
47,M,12,Self Employed,UK,0.0,IP1 5NA,28500.0,Own,1,1238.0,Paid
56,F,12,Employed,UK,1390.0,IP18 6LS,43500.0,Rent,0,354.0,Paid
65,M,19,Self Employed,UK,5560.0,KT23 4BT,28000.0,Rent,0,3727.0,Paid
28,M,8,Self Employed,UK,0.0,N16 8QT,42000.0,Mortgage,2,20240.0,Defaulted
52,F,22,Unemployed,UK,3420.0,N16 9NS,33500.0,Own,2,22286.0,Defaulted
34,F,14,Self Employed,UK,7090.0,N21 1DX,52000.0,Own,2,28251.0,Defaulted
39,M,2,Unemployed,UK,1060.0,NR20 3QA,52000.0,Mortgage,1,9349.0,Paid
50,F,20,Self Employed,UK,1630.0,OX15 0SB,46500.0,Own,0,28449.0,Paid
32,F,2,Employed,UK,1250.0,PH2 7JA,36000.0,Rent,2,25021.0,Defaulted
64,M,12,Self Employed,UK,8150.0,RG40 4JN,44000.0,Mortgage,1,7832.0,Defaulted
54,F,34,Employed,UK,3660.0,RH2 0TN,25500.0,Mortgage,0,9713.0,Paid
47,M,13,Unemployed,UK,6420.0,SA4 9ZJ,49500.0,Rent,0,21857.0,Defaulted
26,M,8,Unemployed,UK,380.0,SE19 2HP,36000.0,Own,0,26269.0,Defaulted
41,M,22,Employed,UK,130.0,SE26 6NR,31500.0,Mortgage,0,25260.0,Defaulted
64,F,6,Unemployed,UK,5000.0,SK11 8RA,45000.0,Own,1,5928.0,Paid
80,M,4,Unemployed,UK,50.0,SK9 6DS,52000.0,Rent,0,28034.0,Paid
70,M,11,Self Employed,UK,990.0,SL6 0LN,44500.0,Rent,3,29350.0,Defaulted
17,M,2,Self Employed,UK,5900.0,SN10 4SQ,37500.0,Rent,3,35840.0,Defaulted
17,M,2,Self Employed,UK,100.0,SW8 1BJ,31500.0,Own,3,947.0,Defaulted
50,F,8,Unemployed,UK,4380.0,TR3 6RS,52000.0,Own,1,12464.0,Paid
42,M,16,Self Employed,UK,80.0,W14 9JB,31000.0,Own,0,18932.0,Paid
31,F,5,Self Employed,UK,4580.0,WA15 7LJ,35500.0,Mortgage,0,13836.0,Defaulted
24,F,4,Unemployed,UK,3910.0,WD17 3EE,21000.0,Mortgage,1,3530.0,Defaulted
35,M,11,Employed,UK,520.0,WD25 7JB,43000.0,Own,1,42038.0,Paid
73,F,16,Self Employed,Germany,2170.0,WD6 2AH,42500.0,Mortgage,0,604.0,Paid
23,M,3,Self Employed,UK,3920.0,WR9 7EU,52000.0,Mortgage,3,38960.0,Defaulted
77,F,42,Unemployed,UK,9180.0,WS13 6RY,46000.0,Own,1,13141.0,Defaulted
84,F,2,Unemployed,UK,9780.0,SK23 6BG,49000.0,Own,2,33427.0,Paid
42,M,23,Unemployed,UK,3610.0,BT79 9ED,27000.0,Own,0,24933.0,Defaulted
86,M,28,Employed,UK,6580.0,BT27 5RP,21500.0,Own,0,865.0,Paid
46,M,4,Self Employed,UK,60.0,KT18 5JQ,25000.0,Rent,0,7972.0,Paid
59,M,31,Self Employed,UK,3120.0,TS5 6SD,49000.0,Own,1,16309.0,Paid
46,M,28,Employed,UK,100.0,LE11 3SQ,21000.0,Mortgage,0,7019.0,Defaulted
51,F,7,Unemployed,UK,7700.0,HR4 8EJ,44500.0,Rent,3,1125.0,Defaulted
83,F,4,Unemployed,UK,9770.0,CM9 8TL,23500.0,Own,0,14029.0,Defaulted
57,M,9,Self Employed,UK,5540.0,KT15 3QG,52000.0,Rent,0,49354.0,Paid
81,F,17,Self Employed,UK,4000.0,NN7 4NS,46000.0,Mortgage,3,28930.0,Defaulted
48,M,21,Self Employed,UK,660.0,HP17 8XB,37500.0,Own,0,26407.0,Paid
86,F,42,Unemployed,UK,1690.0,TW1 4ST,52000.0,Own,0,14310.0,Paid
58,F,28,Unemployed,UK,10.0,BT20 5LQ,50500.0,Mortgage,2,6988.0,Paid
47,F,30,Employed,UK,9670.0,EN1 2EB,22500.0,Rent,2,13701.0,Defaulted
88,F,42,Unemployed,UK,830.0,CW4 7DT,29500.0,Own,0,1287.0,Defaulted
61,F,26,Self Employed,UK,0.0,WR14 4PE,38000.0,Own,0,4483.0,Paid
84,M,42,Employed,UK,7300.0,WR8 9BX,34000.0,Own,1,22417.0,Paid
82,M,31,Employed,UK,40.0,WA14 4QY,38500.0,Rent,0,6843.0,Paid
77,F,42,Unemployed,UK,1990.0,BT23 6QH,37000.0,Mortgage,0,30181.0,Paid
45,M,18,Unemployed,UK,40.0,SW18 2AP,38500.0,Mortgage,3,29383.0,Defaulted
60,M,9,Self Employed,UK,3430.0,PE19 6HB,47500.0,Own,2,27030.0,Paid
80,F,42,Self Employed,UK,8960.0,BT20 5HN,42500.0,Own,3,39559.0,Defaulted
70,F,16,Self Employed,UK,2350.0,NW8 9QA,21000.0,Rent,1,50.0,Defaulted
70,M,42,Unemployed,UK,3850.0,IP1 4NR,21000.0,Mortgage,0,6423.0,Paid
65,M,30,Unemployed,UK,5750.0,KT10 8NT,39500.0,Own,0,26800.0,Paid
79,F,2,Unemployed,UK,6630.0,HP4 1NA,50000.0,Own,1,16705.0,Defaulted
48,M,27,Self Employed,UK,1330.0,SL8 5LF,44500.0,Own,1,27999.0,Defaulted
52,M,12,Employed,UK,2140.0,OX15 5BL,25000.0,Rent,1,2142.0,Defaulted
75,M,11,Self Employed,UK,2250.0,W10 6JW,21000.0,Mortgage,2,2948.0,Paid
69,F,17,Employed,UK,6870.0,EN7 5BG,47000.0,Mortgage,0,23896.0,Defaulted
31,F,14,Self Employed,UK,1000.0,LN2 4BL,32000.0,Own,0,16978.0,Paid
62,F,24,Self Employed,UK,4180.0,KT16 0JU,25000.0,Mortgage,0,12590.0,Paid
77,M,42,Self Employed,UK,3000.0,BH24 4EW,44500.0,Mortgage,1,8915.0,Paid
36,M,12,Unemployed,UK,2660.0,LN2 4GF,21000.0,Own,0,15388.0,Paid
22,F,2,Unemployed,UK,3730.0,SG14 3RZ,52000.0,Rent,3,18408.0,Defaulted
64,F,23,Self Employed,UK,8010.0,JE3 2FL,50500.0,Own,1,4480.0,Defaulted
70,F,23,Employed,UK,1880.0,SW1P 1QQ,52000.0,Rent,0,30275.0,Paid
22,M,2,Self Employed,UK,3110.0,BD13 3QS,50500.0,Own,0,4397.0,Paid
62,F,33,Self Employed,UK,5480.0,N20 8DB,46500.0,Own,2,23670.0,Defaulted
57,F,36,Unemployed,UK,1180.0,RH15 9UU,27500.0,Own,1,10824.0,Paid
41,M,23,Self Employed,UK,510.0,NE66 3BZ,39500.0,Mortgage,0,9313.0,Paid
28,M,9,Unemployed,UK,0.0,TN14 6NQ,45500.0,Mortgage,1,28298.0,Paid
37,F,8,Self Employed,UK,5380.0,GU31 4AZ,48500.0,Own,2,15354.0,Defaulted
36,M,10,Self Employed,UK,2150.0,SK9 7DA,34500.0,Own,0,12971.0,Paid
79,M,12,Employed,UK,8310.0,EH4 3AQ,45500.0,Own,3,13235.0,Defaulted
61,F,13,Employed,UK,5930.0,TS21 3NT,44000.0,Own,0,8485.0,Paid
74,M,8,Unemployed,UK,5460.0,OX2 7BH,45500.0,Mortgage,1,8659.0,Paid
68,M,29,Self Employed,UK,70.0,JE3 3BJ,50500.0,Mortgage,0,6537.0,Paid
25,M,7,Unemployed,UK,4080.0,NG16 6JA,47500.0,Own,1,94.0,Paid
82,M,21,Self Employed,UK,3640.0,IM9 5PL,44000.0,Mortgage,0,19519.0,Paid
24,M,6,Unemployed,UK,5830.0,SW11 2JY,47500.0,Mortgage,2,26615.0,Paid
80,F,29,Unemployed,UK,220.0,SW5 9TF,38000.0,Mortgage,0,33129.0,Paid
58,F,3,Self Employed,UK,5060.0,EX14 1AB,32000.0,Own,0,4145.0,Defaulted
81,F,24,Self Employed,UK,4760.0,SS9 2HX,25500.0,Mortgage,1,11392.0,Defaulted
38,F,11,Employed,UK,6040.0,BT24 8YE,29500.0,Own,0,13857.0,Paid
51,F,32,Self Employed,UK,460.0,BT6 0HN,21000.0,Mortgage,1,14602.0,Paid
82,F,13,Self Employed,UK,530.0,BT19 1LE,28500.0,Own,1,4029.0,Paid
24,M,2,Self Employed,UK,4700.0,WA4 4DJ,35500.0,Own,2,16771.0,Defaulted
68,F,12,Unemployed,UK,160.0,ME17 4JQ,26000.0,Own,0,9607.0,Paid
77,F,14,Self Employed,UK,2790.0,GU22 9BS,36500.0,Own,0,19481.0,Defaulted
30,F,2,Unemployed,UK,760.0,TN4 8DS,33000.0,Own,0,8529.0,Paid
49,M,16,Self Employed,UK,6410.0,BN12 4XE,42500.0,Mortgage,0,6216.0,Paid
51,M,24,Employed,UK,9540.0,WA4 2DT,51500.0,Own,1,33593.0,Defaulted
76,F,35,Self Employed,UK,2490.0,TN30 6QE,47500.0,Mortgage,1,25381.0,Defaulted
58,F,23,Self Employed,UK,2130.0,GU51 1HG,34000.0,Own,1,24789.0,Paid
69,M,29,Self Employed,UK,1390.0,BT30 9UE,52000.0,Own,1,53022.0,Paid
25,M,4,Self Employed,UK,360.0,BT63 5YE,47000.0,Mortgage,2,45965.0,Paid
77,M,42,Self Employed,UK,8090.0,BT38 8NS,31500.0,Rent,0,29043.0,Defaulted
89,F,42,Unemployed,UK,5000.0,CW7 2PZ,29000.0,Mortgage,0,26393.0,Paid
61,M,41,Self Employed,UK,750.0,BT82 8AF,21000.0,Mortgage,0,5304.0,Paid
37,F,17,Unemployed,UK,6320.0,WR12 7AJ,50500.0,Own,1,11260.0,Defaulted
67,M,2,Self Employed,UK,6010.0,BT8 8RY,21000.0,Own,0,6197.0,Paid
66,F,28,Self Employed,UK,3280.0,BT19 6NR,21000.0,Own,1,7275.0,Paid
53,M,12,Unemployed,UK,1230.0,HP1 1PF,52000.0,Rent,0,10407.0,Defaulted
62,M,20,Unemployed,UK,1250.0,TW16 6QP,23000.0,Own,2,3054.0,Defaulted
79,F,2,Unemployed,UK,710.0,BA5 2LB,36500.0,Rent,0,14830.0,Paid
17,M,2,Self Employed,UK,9780.0,BT37 0RY,52000.0,Rent,3,38905.0,Defaulted
66,M,32,Employed,UK,140.0,BT71 6QB,21000.0,Own,0,732.0,Defaulted
26,F,5,Unemployed,UK,7170.0,GU9 7QN,52000.0,Mortgage,0,27826.0,Paid
56,F,36,Self Employed,UK,4040.0,KT13 8JY,52000.0,Mortgage,2,18810.0,Defaulted
88,M,39,Employed,UK,930.0,KY13 9JN,28000.0,Own,1,6641.0,Paid
55,F,17,Unemployed,UK,8180.0,LA8 8NZ,32500.0,Rent,2,17713.0,Defaulted
50,F,27,Self Employed,UK,1140.0,NN12 7RZ,49000.0,Own,1,14918.0,Paid
45,M,12,Self Employed,UK,1520.0,RH4 1NT,52000.0,Own,3,48799.0,Paid
39,M,42,Self Employed,UK,9880.0,SW14 7RW,34000.0,Own,2,21621.0,Defaulted
39,M,4,Self Employed,UK,9970.0,TW12 1LB,41000.0,Mortgage,3,29456.0,Defaulted
73,M,4,Unemployed,UK,9300.0,WD7 7BJ,50000.0,Rent,0,5521.0,Defaulted
20,F,3,Self Employed,UK,60.0,YO24 1QB,48500.0,Own,3,22536.0,Defaulted
41,F,14,Self Employed,UK,120.0,KT7 0BX,52000.0,Own,1,23835.0,Paid
81,F,42,Unemployed,UK,2370.0,SW2 4HF,45000.0,Own,0,17252.0,Paid
64,M,42,Unemployed,UK,380.0,CA6 5XF,35000.0,Own,2,10886.0,Paid
24,F,5,Self Employed,UK,1760.0,HP14 4DN,39500.0,Mortgage,2,21861.0,Paid
24,M,3,Unemployed,UK,8990.0,GY5 7YF,24000.0,Rent,0,481.0,Defaulted
58,M,39,Unemployed,UK,950.0,GY3 5HU,39500.0,Mortgage,0,23151.0,Defaulted
33,F,11,Employed,UK,560.0,GY6 8DN,21000.0,Mortgage,0,5880.0,Paid
38,M,2,Self Employed,UK,3860.0,WF14 9JU,33000.0,Own,0,983.0,Paid
18,M,2,Unemployed,UK,9800.0,HR4 7QT,45500.0,Own,0,40732.0,Defaulted
28,F,10,Self Employed,UK,6090.0,LS29 9LD,21000.0,Own,0,4880.0,Paid
30,F,13,Unemployed,UK,5170.0,SY10 8EJ,37500.0,Mortgage,1,36389.0,Paid
39,F,15,Self Employed,UK,3370.0,BN12 4XQ,30000.0,Own,0,2124.0,Paid
25,F,5,Unemployed,UK,160.0,AB15 9NQ,50000.0,Own,1,38577.0,Paid
40,F,5,Unemployed,UK,210.0,AB25 3XA,24000.0,Own,0,19064.0,Paid
51,M,23,Unemployed,UK,5840.0,BN3 1DF,51000.0,Own,0,28359.0,Paid
27,M,10,Unemployed,UK,7230.0,BN6 8LT,50000.0,Own,1,33061.0,Paid
54,F,10,Self Employed,UK,2040.0,BT15 4AF,36500.0,Own,2,18000.0,Defaulted
36,F,6,Self Employed,UK,120.0,BT22 2XA,21000.0,Mortgage,3,11230.0,Defaulted
41,M,23,Self Employed,UK,1730.0,BT23 5QE,50500.0,Own,2,31588.0,Defaulted
87,F,42,Employed,UK,4380.0,BT26 6RD,28000.0,Rent,3,4750.0,Defaulted
45,M,13,Self Employed,UK,1590.0,BT28 3HL,24500.0,Mortgage,0,19610.0,Paid
49,F,22,Self Employed,UK,110.0,BT6 0AQ,25000.0,Own,2,18260.0,Defaulted
57,F,38,Self Employed,UK,440.0,BT6 8PF,50500.0,Own,1,25985.0,Paid
71,F,34,Unemployed,UK,1570.0,BT61 8RG,49500.0,Rent,2,48100.0,Defaulted
39,M,8,Self Employed,UK,2580.0,BT71 6DQ,31000.0,Rent,2,13474.0,Defaulted
85,F,42,Unemployed,UK,2240.0,BT8 6JP,21000.0,Own,0,11301.0,Defaulted
21,F,2,Self Employed,UK,7150.0,BT8 8JT,22000.0,Mortgage,0,2580.0,Paid
60,F,2,Employed,UK,6530.0,CB2 3AP,40500.0,Mortgage,0,12663.0,Paid
62,F,21,Employed,UK,400.0,CF14 2AF,23500.0,Own,0,20829.0,Paid
17,M,2,Self Employed,UK,5330.0,CW6 0EH,52000.0,Mortgage,3,4282.0,Defaulted
86,M,42,Employed,UK,2620.0,DD1 4NB,51000.0,Rent,0,46634.0,Paid
37,F,2,Self Employed,UK,4600.0,DL10 6RW,28000.0,Own,2,16169.0,Defaulted
55,M,2,Self Employed,UK,2060.0,DT6 6RB,52000.0,Mortgage,0,5764.0,Paid
30,M,3,Unemployed,UK,7380.0,E1 3JH,31500.0,Own,0,13840.0,Defaulted
78,M,34,Self Employed,UK,5370.0,E17 7DN,51000.0,Mortgage,0,26201.0,Paid
31,F,8,Employed,UK,1600.0,E2 7NQ,52000.0,Own,3,32584.0,Defaulted
89,F,3,Self Employed,UK,240.0,E4 8PW,52000.0,Own,2,7660.0,Defaulted
26,F,4,Self Employed,UK,290.0,EC1V 4JU,52000.0,Own,0,48176.0,Paid
31,F,8,Self Employed,UK,700.0,EC4Y 1HT,50500.0,Own,0,8112.0,Defaulted
42,M,7,Unemployed,UK,3430.0,EH10 4LL,40500.0,Own,0,33896.0,Paid
27,F,2,Unemployed,UK,6820.0,EH10 4NR,45500.0,Mortgage,0,364.0,Defaulted
23,M,4,Unemployed,UK,5000.0,EH3 6QL,52000.0,Mortgage,0,1793.0,Paid
34,M,11,Self Employed,UK,320.0,EH4 1HX,45500.0,Own,2,32444.0,Defaulted
38,M,8,Self Employed,UK,6350.0,EH6 7HP,39000.0,Rent,0,8442.0,Paid
18,F,2,Unemployed,UK,5180.0,EX17 6SE,28000.0,Rent,1,236.0,Paid
82,M,31,Self Employed,UK,2620.0,GL7 3HR,31000.0,Rent,0,18841.0,Paid
